epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_accuracy,val_precision,val_recall,val_f1,val_auc
1,0.1040853718550508,0.9701239662489726,0.9914083321643989,0.9484684805582582,0.9694631620458481,0.9853352768227527,0.9742419922060641,0.9952352590827874,0.9530418250950571,0.9736816548509275,0.9868333450174647
2,0.08390289926132019,0.9765822890980156,0.9951204210379562,0.957862247123159,0.9761359362713256,0.9893437887525317,0.9750974241992206,0.995243757431629,0.9547528517110266,0.9745779157772172,0.9880753922796559
3,0.07550784132679197,0.9785281733849999,0.9957251590032322,0.9611836145871775,0.9781495390918402,0.9914161104897523,0.9759528561923771,0.9964306960142773,0.9553231939163498,0.975444045423663,0.9876030522324039
4,0.06743100748068649,0.9799540368711522,0.9952572180294953,0.9645049820511961,0.9796398207622715,0.9938269342652744,0.9758578081931375,0.9972189114024632,0.9543726235741445,0.9753254322906547,0.9874273927595485
5,0.060276249364416154,0.982285743042625,0.9949729711117997,0.9694702586640722,0.9820560747663551,0.9951741331961242,0.9763330481893356,0.9948647047205215,0.9576045627376426,0.975879104911363,0.9878685108803354
6,0.05184645191546482,0.983292234915203,0.9943039494904437,0.9721541919683296,0.9831043256997456,0.996817097979736,0.974527136203783,0.9938662445587654,0.9549429657794677,0.9740159007174714,0.9872299791203366
7,0.04271695301096083,0.9865465586365391,0.9953208784453021,0.9776898044083605,0.9864265646684494,0.9979786115161445,0.9744320882045433,0.9946481665014866,0.9539923954372623,0.9738961669092674,0.9861869897076052
8,0.036599954385693884,0.9875866002382031,0.9946227410407379,0.9804743852115275,0.9874978881567832,0.9986296084041942,0.9740518962075848,0.9903638151425762,0.9574144486692016,0.9736104398260029,0.985698117216652
9,0.029921354665719484,0.9895660342542734,0.9946777856876504,0.984399637669004,0.989512022392338,0.9991315272767092,0.9691094002471248,0.9769959404600812,0.9608365019011407,0.9688488450110228,0.9865338457969288
10,0.015019526859432048,0.99463204334625,0.997200957744579,0.9920488475861375,0.9946182307433569,0.9997933641045725,0.9727212242182302,0.9846033911518223,0.9604562737642586,0.9723799441824656,0.98668139108137
11,0.009600649174036791,0.9964940533105195,0.9975122705573859,0.9954708625490657,0.9964905210484778,0.9999252184288112,0.9739568482083452,0.9876760563380281,0.9598859315589353,0.9735827227150019,0.9859832341145801
12,0.008649544217169335,0.9969805243822656,0.9977487315614395,0.9962089442077364,0.9969782433521354,0.9999226059475995,0.9707252162341983,0.9796590468810539,0.9614068441064639,0.9704471310688927,0.9856929135622411
13,0.007470302122904329,0.9973831211312969,0.9979177162048699,0.9968463783674976,0.9973817595918231,0.9999416148156307,0.9731014162151886,0.987081620669407,0.958745247148289,0.9727071077249494,0.9859301315440472
14,0.0034987106327482773,0.9987083354301914,0.9989594522019334,0.998456738350052,0.99870803201396,0.9999901488860133,0.9700598802395209,0.9785175149990323,0.9612167300380228,0.9697899683513954,0.9859856371910962
15,0.002069385800773235,0.9993457802828242,0.9994966105107725,0.9991948200087227,0.9993456924754635,0.9999974719376126,0.9728162722174698,0.984984399375975,0.9602661596958175,0.9724682325760493,0.9858725119123936
16,0.0018831875422740062,0.9994128797409961,0.999496678075297,0.9993290166739357,0.9994128403429012,0.9999975102074795,0.9733865602129075,0.9884268340525696,0.9579847908745247,0.9729677543927399,0.9862132609350823
17,0.002100549747540713,0.9993793300119101,0.9993290841999329,0.9994296641728453,0.9993793716557358,0.9999961257387635,0.9755726641954187,0.992712231632854,0.9581749049429658,0.9751378543097611,0.986689106221764
18,0.0012824891078158077,0.9996141781155117,0.9996644745671722,0.9995638608380581,0.9996141651708578,0.9999984298098707,0.9729113202167095,0.9849873269643206,0.9604562737642586,0.9725671383193762,0.9866535479166231
19,0.0007484858390210582,0.9997819267609414,0.9998322372835861,0.9997316066695743,0.9997819194443979,0.9999988293923051,0.9738618002091056,0.9880556099471314,0.9593155893536122,0.9734735217517122,0.986410331277649
20,0.0007350341556320182,0.9997316021673125,0.9997316066695743,0.9997316066695743,0.9997316066695743,0.9999997118504136,0.9719608402243133,0.9815712900096993,0.9619771863117871,0.971675468074892,0.9861663738406512
21,0.00043442108886144375,0.9998658010836563,0.9998658033347871,0.9998658033347871,0.9998658033347871,0.999999891943905,0.9729113202167095,0.9832912376141442,0.9621673003802281,0.97261458633612,0.9861973066752043
22,0.000372715183336239,0.9998993508127422,0.9998658123385554,0.9999329016673936,0.9998993558776168,0.9999997287341784,0.9738618002091056,0.9884381736233588,0.9589353612167301,0.9734632828331564,0.9861613689369295
23,0.000330374202155155,0.9998825759481992,0.9998993491243374,0.9998658033347871,0.9998825759481992,0.9999999561022115,0.9734816082121471,0.9870917269704674,0.9595057034220532,0.9731032488190494,0.9862482952611331
24,0.000512277828659436,0.9998490262191133,0.9999328904100396,0.9997651558358774,0.9998490160881746,0.999999895320658,0.9728162722174698,0.9857421875,0.9595057034220532,0.9724470134874759,0.9862770960428378
25,0.0002561896801775358,0.9998993508127422,0.9998993525010903,0.9998993525010903,0.9998993525010903,0.9999999741115605,0.9729113202167095,0.9866953629426727,0.958745247148289,0.9725195256002314,0.9862749459217444
26,0.0003340759789066998,0.9998825759481992,0.9998658078368223,0.9998993525010903,0.9998825798876122,0.9999999290881877,0.9724360802205113,0.9859210011732499,0.9585551330798479,0.9720454983612878,0.9862829320858054
27,0.000185535754959088,0.9999496754063711,0.9999329039184112,0.9999664508336967,0.999949677094691,0.9999999898697411,0.9742419922060641,0.9895976447497546,0.9585551330798479,0.9738290680830517,0.9863389436437
28,0.00019276482094046773,0.9999161256772852,0.9998993558776168,0.9999329016673936,0.9999161284911515,0.9999999898697411,0.973766752209866,0.988819144762652,0.9583650190114068,0.9733539293299864,0.9864467026537915
29,0.00027765463117598806,0.9998658010836563,0.9999328926618126,0.9997987050021807,0.9998657943298105,0.9999999707348075,0.973766752209866,0.9886274509803922,0.9585551330798479,0.9733590733590733,0.9865179457417845
30,0.00023943640778411823,0.9998825759481992,0.9998658078368223,0.9998993525010903,0.9998825798876122,0.9999999234602661,0.9731014162151886,0.9868910193699864,0.9589353612167301,0.9727123710346157,0.9864605429290647
31,0.00016995430764310667,0.9999496754063711,0.9999664497081124,0.9999329016673936,0.9999496754063711,0.9999999864929882,0.9732915122136679,0.9874681809281378,0.958745247148289,0.972894762226295,0.9865137177725756
32,0.00017489940962303596,0.9999329005418282,0.9999329016673936,0.9999329016673936,0.9999329016673936,0.9999999876185725,0.9728162722174698,0.9855525185474424,0.9596958174904943,0.9724523213253708,0.9865587257695807
33,0.0001437792303888254,0.999966450270914,0.9999664508336967,0.9999664508336967,0.9999664508336967,0.9999999909953254,0.9731964642144283,0.9868935837245696,0.9591254752851711,0.9728114153490166,0.9865278652080053
34,0.00018332912650750413,0.9999329005418282,0.9999329016673936,0.9999329016673936,0.9999329016673936,0.9999999876185725,0.9733865602129075,0.9874706342991386,0.9589353612167301,0.9729938271604939,0.986564128174681
35,0.000176693010500483,0.9999496754063711,0.9999664497081124,0.9999329016673936,0.9999496754063711,0.9999999842418195,0.9740518962075848,0.9894013738959765,0.9583650190114068,0.9736359246740705,0.9866466458472308
36,0.00012615864676013063,0.9999496754063711,0.9998993626299899,1.0,0.9999496787828975,0.9999999943720784,0.9744320882045433,0.9894096881741518,0.9591254752851711,0.9740322424944493,0.9865672720492207
37,0.00019409876222768328,0.9999161256772852,0.9998993558776168,0.9999329016673936,0.9999161284911515,0.999999986492988,0.9744320882045433,0.9901787468080927,0.9583650190114068,0.9740121727369336,0.9865772457201749
38,0.00010751476573559071,0.999966450270914,0.9999664508336967,0.9999664508336967,0.9999664508336967,0.999999996623247,0.9729113202167095,0.9865049872873068,0.9589353612167301,0.9725248240624699,0.9865185781303414
39,0.00013992325179901913,0.9999496754063711,0.9999664497081124,0.9999329016673936,0.9999496754063711,0.999999993246494,0.9731964642144283,0.986703167774736,0.9593155893536122,0.9728166570271833,0.9865328520434823
40,9.418469976779714e-05,0.999983225135457,1.0,0.9999664508336967,0.999983225135457,0.9999999977488314,0.9734816082121471,0.9874730867097279,0.9591254752851711,0.9730928729867876,0.9864651864678967
41,0.00015264372899098297,0.9999329005418282,0.9999329016673936,0.9999329016673936,0.9999329016673936,0.9999999887441567,0.973766752209866,0.9886274509803922,0.9585551330798479,0.9733590733590733,0.9865187407445418
42,0.00016308506188087796,0.9999161256772852,0.9999328994162249,0.9998993525010903,0.9999161256772852,0.9999999898697411,0.9742419922060641,0.9897899077164736,0.9583650190114068,0.9738240123635661,0.9865219207555707
43,0.00013951618506781062,0.999966450270914,1.0,0.9999329016673936,0.9999664497081124,0.9999999943720783,0.9734816082121471,0.9876639906011357,0.9589353612167301,0.9730876820681007,0.9866657439816485
44,9.940918098409847e-05,0.9999496754063711,0.9999664497081124,0.9999329016673936,0.9999496754063711,0.9999999977488314,0.9736717042106263,0.9886252206314964,0.9583650190114068,0.9732599671782991,0.9865375678552921
45,0.00015300362721275328,0.9999496754063711,0.9999329039184112,0.9999664508336967,0.999949677094691,0.9999999876185725,0.9739568482083452,0.9888235294117647,0.958745247148289,0.9735521235521235,0.9864731364954686
46,0.00011536916380716538,0.9999496754063711,0.9999664497081124,0.9999329016673936,0.9999496754063711,0.999999996623247,0.9734816082121471,0.9876639906011357,0.9589353612167301,0.9730876820681007,0.9865080082073194
47,0.00012685661974537967,0.9999161256772852,0.9999328994162249,0.9998993525010903,0.9999161256772852,0.999999993246494,0.9733865602129075,0.987279843444227,0.9591254752851711,0.9729990356798457,0.9865164822139815
48,7.965018013091544e-05,1.0,1.0,1.0,1.0,1.0,0.9736717042106263,0.9876688197298884,0.9593155893536122,0.9732857556177066,0.9866240786098727
49,0.0001279470618753172,0.9999496754063711,0.9999329039184112,0.9999664508336967,0.999949677094691,0.9999999954976627,0.9733865602129075,0.9874706342991386,0.9589353612167301,0.9729938271604939,0.986542771509703
50,8.672802114313663e-05,0.999983225135457,1.0,0.9999664508336967,0.999983225135457,1.0,0.9739568482083452,0.9890153001176932,0.9585551330798479,0.9735470167986098,0.9865161389173364
